Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,Position,Height,Weight
J. Delaplace,32,France,70,FC Lorient,€1.3M,€6K,Right,LCM,5.6,150
C. Janker,33,Germany,70,FC Augsburg,€725K,€12K,Right,CB,6.1,172
B. Heynen,21,Belgium,70,KRC Genk,€2.6M,€7K,Right,LCM,6.0,148
Bismark,24,Brazil,70,Al Qadisiyah,€2.2M,€10K,Right,LW,5.7,172
Ortuño,27,Spain,70,Albacete BP,€1.9M,€6K,Left,ST,6.0,170
M. Azira,30,Uganda,70,Montreal Impact,€1.3M,€5K,Right,RCM,5.93,161
J. Rodríguez,22,Argentina,70,Club Atlético Banfield,€2.1M,€7K,Right,CB,6.2,185
F. González,31,Argentina,70,Club Atlético Tigre,€1.6M,€10K,Right,ST,5.93,172
M. Falzerano,27,Italy,70,Venezia FC,€2M,€4K,Right,RCM,5.6,150
C. Ascues,26,Peru,70,Orlando City SC,€2M,€5K,Right,LB,6.2,172
Akapo,25,Equatorial Guinea,70,SD Huesca,€2M,€11K,Right,LB,5.93,168
M. Friedrich,22,Germany,70,1. FC Union Berlin,€2.3M,€13K,Right,RCB,6.4,172
David Fernández,33,Spain,70,AD Alcorcón,€725K,€6K,Right,LCB,6.1,179
R. Ziegler,32,Switzerland,70,FC Dallas,€1M,€5K,Left,LCB,6.0,176
A. Ábalos,32,Argentina,70,Club Deportes Temuco,€1.4M,€2K,Right,LM,5.5,148
V. Sarı,29,Turkey,70,Kasimpaşa SK,€1.4M,€8K,Right,RCB,6.0,168
D. Keet,28,South Africa,70,,€0,€0,Left,GK,6.0,170
N. Leyes,28,Argentina,70,Atlético Tucumán,€1.4M,€7K,Right,CDM,5.97,172
P. Hatzidiakos,21,Greece,70,AZ Alkmaar,€2.3M,€6K,Right,CB,5.97,163
J. Makengo,20,France,70,OGC Nice,€2.8M,€12K,Left,CM,5.93,165
D. Opare,27,Ghana,70,Royal Antwerp FC,€1.5M,€7K,Right,RB,5.9,163
D. Schmidt,31,Germany,70,Holstein Kiel,€1.2M,€7K,Right,RCB,6.2,181
L. Castaignos,25,Netherlands,70,Sporting CP,€2.3M,€8K,Right,ST,6.2,172
R. Azeez,25,Nigeria,70,CD Lugo,€1.9M,€5K,Right,LDM,5.7,148
D. Antolić,28,Croatia,70,Legia Warszawa,€1.8M,€7K,Right,CM,5.97,161
D. Jevtić,25,Switzerland,70,Lech Poznań,€2.2M,€6K,Left,CAM,6.0,165
Y. Kobayashi,26,Japan,70,SC Heerenveen,€2.1M,€6K,Left,CM,6.0,159
E. Seka,31,Guinea,70,AS Nancy Lorraine,€1.2M,€4K,Right,LCB,6.1,185
M. Volta,31,Italy,70,Benevento,€1.2M,€3K,Right,LCB,6.0,172
Aridane,29,Spain,70,CA Osasuna,€1.6M,€6K,Right,LCB,6.1,170
B. Schenkeveld,26,Netherlands,70,Melbourne City FC,€1.8M,€7K,Right,RCB,6.1,183
Allan Ardaújo,30,Brazil,70,América FC (Minas Gerais),€1.7M,€10K,Right,LAM,5.93,165
M. Bero,22,Slovakia,70,Vitesse,€2.6M,€7K,Right,CAM,6.0,183
C. Chantôme,30,France,70,Red Star FC,€1.6M,€4K,Right,CAM,5.97,165
D. Hoesen,27,Netherlands,70,San Jose Earthquakes,€2.1M,€5K,Right,ST,6.1,179
A. Machado,33,Panama,70,Houston Dynamo,€725K,€5K,Right,CB,5.97,157
Rodolfo,25,Brazil,70,Al Hazem,€2.2M,€8K,Left,CAM,5.7,146
M. Targett,22,England,70,Southampton,€2.3M,€19K,Left,LB,6.0,154
R. Dwamena,22,Ghana,70,Levante UD,€2.8M,€12K,Left,ST,6.1,179
K. Laribi,27,Tunisia,70,Hellas Verona,€1.8M,€3K,Right,LCM,5.9,148
Bruno Nascimento,27,Brazil,70,CD Feirense,€1.7M,€7K,Right,LCB,6.2,181
J. Souttar,21,Scotland,70,Heart of Midlothian,€2.8M,€4K,Right,CB,6.2,165
L. Faravelli,25,Argentina,70,Gimnasia y Esgrima La Plata,€2.3M,€8K,Left,LCM,5.93,161
O. Okwonkwo,20,Nigeria,70,Bologna,€3.9M,€14K,Right,LW,5.97,159
D. Zuma,23,South Africa,70,Kaizer Chiefs,€2.5M,€1K,Right,RW,5.7,159
J. Busk,24,Denmark,70,1. FC Union Berlin,€1.7M,€10K,Right,GK,6.2,172
D. Delgado,25,Colombia,70,Deportivo Cali,€2.1M,€2K,Right,RM,6.1,154
N. Mihajlović,22,Serbia,70,SC Heerenveen,€2.4M,€6K,Right,LW,5.8,157
Lucas Áfrico,23,Brazil,70,Clube Sport Marítimo,€2M,€5K,Left,LCB,6.2,174
D. Lévêque,28,France,70,PAOK,€1.4M,€1K,Left,LB,6.0,159
R. Himmelmann,29,Germany,70,FC St. Pauli,€1.2M,€8K,Right,GK,6.2,176
Y. Kashiwagi,30,Japan,70,Urawa Red Diamonds,€1.6M,€7K,Left,CAM,5.9,161
A. Rrahmani,24,Kosovo,70,Dinamo Zagreb,€2M,€1K,Right,CB,6.4,192
P. Sagna,27,Senegal,70,Os Belenenses,€1.5M,€4K,Right,RB,6.0,168
J. Archer,25,Scotland,70,Millwall,€1.6M,€6K,Right,GK,6.3,176
M. Pedersen,28,Norway,70,Strømsgodset IF,€1.8M,€4K,Right,ST,5.97,176
P. Helland,28,Norway,70,Rosenborg BK,€1.8M,€5K,Left,RW,6.1,185
Y. Moreno,23,Colombia,70,Club León,€2.7M,€14K,Left,LM,5.9,154
K. Hämäläinen,31,Finland,70,Legia Warszawa,€1.6M,€6K,Right,LM,6.2,163
S. Pocognoli,30,Belgium,70,Standard de Liège,€1.3M,€8K,Left,LB,6.0,179
G. Leadbitter,32,England,70,Middlesbrough,€1M,€26K,Right,CDM,5.93,174
H. Quiñones,26,Colombia,70,América de Cali,€1.7M,€2K,Left,LB,5.93,154
Ansel Barnisco,30,Brazil,70,Paraná,€1.3M,€11K,Right,LDM,6.0,181
I. El Adoua,31,Morocco,70,CD Aves,€1.2M,€7K,Right,CDM,6.2,174
J. Angulo,29,Colombia,70,Deportivo Cali,€1.3M,€2K,Right,RB,5.97,159
J. Berthomier,28,France,70,ESTAC Troyes,€1.8M,€6K,Left,LM,5.93,163
E. Rolón,23,Argentina,70,Genoa,€2.1M,€5K,Right,CDM,5.93,163
A. Frączczak,30,Poland,70,Pogoń Szczecin,€1.7M,€4K,Right,LM,6.0,168
R. Wolski,25,Poland,70,Lechia Gdańsk,€2.2M,€5K,Right,CAM,5.97,154
J. Pearce,30,England,70,Charlton Athletic,€1.3M,€7K,Left,LCB,6.1,157
N. Moro,20,Croatia,70,Dinamo Zagreb,€2.7M,€1K,Right,CDM,6.0,170
B. Aouacheria,24,France,70,Moreirense FC,€2.4M,€4K,Right,RW,6.0,163
J. McEachran,25,England,70,Brentford,€2.2M,€22K,Left,CDM,5.93,143
P. Wszołek,26,Poland,70,Queens Park Rangers,€1.9M,€6K,Right,RM,6.1,170
L. Baker,23,England,70,Leeds United,€2.6M,€20K,Right,CM,6.0,159
Alfonso Herrero,24,Spain,70,Real Oviedo,€1.8M,€4K,Right,GK,6.0,183
A. Măţel,28,Romania,70,Dinamo Zagreb,€1.4M,€1K,Right,RB,5.9,168
K. Rosenberry,24,United States,70,Philadelphia Union,€2M,€4K,Right,RB,5.8,161
L. Thy,26,Germany,70,BB Erzurumspor,€2.2M,€9K,Right,ST,6.0,172
Koo Ja Ryong,26,Korea Republic,70,Suwon Samsung Bluewings,€1.8M,€5K,Right,RCB,6.0,165
D. Fry,20,England,70,Middlesbrough,€3.1M,€18K,Right,CB,6.3,159
R. Leeuwin,30,Netherlands,70,Odense Boldklub,€1.3M,€7K,Right,RCB,6.2,168
R. Fernández,27,Chile,70,Al Fayha,€1.9M,€13K,Right,ST,6.0,176
A. Timofeev,24,Russia,70,Spartak Moscow,€2.4M,€1K,Right,CDM,6.1,163
Rodrigo Pinho,27,Brazil,70,Clube Sport Marítimo,€1.9M,€7K,Left,ST,6.1,174
H. Vaca,20,Bolivia,70,,€0,€0,Left,RM,5.6,132
J. Worrall,21,England,70,Rangers FC,€3.1M,€17K,Right,LCB,6.3,198
A. El Jadeyaoui,31,Morocco,70,Grenoble Foot 38,€1.6M,€4K,Left,LW,5.93,154
M. Eriksson,28,Sweden,70,San Jose Earthquakes,€1.8M,€5K,Left,RM,5.93,181
Y. Kalfa,25,Syria,70,Al Hazem,€2.2M,€8K,Right,RM,5.9,161
C. Vilches,34,Chile,70,Universidad de Chile,€550K,€7K,Right,RCB,6.0,172
C. Dessers,23,Belgium,70,FC Utrecht,€2.4M,€10K,Right,ST,6.1,176
A. Kara,25,Turkey,70,Bursaspor,€2.2M,€10K,Right,LDM,6.1,185
C. Dunkley,26,England,70,Wigan Athletic,€1.8M,€26K,Right,CB,6.2,187
F. Deli,23,Italy,70,Foggia,€2.5M,€2K,Left,LCM,6.0,170
Jefferson Santos,25,Brazil,70,GD Chaves,€1.8M,€5K,Right,CDM,6.4,187
Kim Seung Dae,27,Korea Republic,70,Pohang Steelers,€1.8M,€5K,Right,CM,5.9,141
M. Mancienne,30,England,70,New England Revolution,€1.3M,€5K,Right,LCB,6.1,190
C. Gardner,31,England,70,Birmingham City,€1.5M,€16K,Right,CM,5.9,179
M. Danielson,29,Sweden,70,Djurgårdens IF,€1.6M,€4K,Right,CB,6.4,179
A. Seculin,27,Italy,70,Chievo Verona,€1.4M,€7K,Right,GK,6.3,176
O. Hüsing,25,Germany,70,FC Hansa Rostock,€1.9M,€3K,Right,RCB,6.4,194
A. Totovytskyi,25,Ukraine,70,Shakhtar Donetsk,€2.2M,€1K,Right,CAM,6.2,170
Fede Vico,23,Spain,70,Granada CF,€2.4M,€13K,Left,CAM,5.6,141
R. Robayo,34,Colombia,70,Deportes Tolima,€550K,€2K,Right,RCM,6.0,172
M. Gori,25,Italy,70,Frosinone,€2.1M,€9K,Left,CM,5.93,168
Miguel Torres,32,Spain,70,Málaga CF,€1M,€6K,Right,CB,6.1,179
Montoro,30,Spain,70,Granada CF,€1.3M,€5K,Right,LDM,5.97,159
N. Paz,26,Argentina,70,Bologna,€2M,€15K,Left,CB,6.4,196
U. Uçar,31,Turkey,70,Medipol Başakşehir FK,€1.2M,€12K,Right,RB,5.97,154
D. Blum,27,Germany,70,UD Las Palmas,€2.1M,€19K,Left,ST,6.0,183
M. Hefele,27,Germany,70,Nottingham Forest,€1.7M,€24K,Right,CB,6.4,201
C. Bieler,34,Argentina,70,San Martin de Tucumán,€925K,€8K,Right,RS,5.93,170
S. Johnson,29,United States,70,New York City FC,€1.4M,€4K,Right,GK,6.3,216
K. Coulibaly,26,Mali,70,FC Nantes,€1.9M,€15K,Right,ST,6.6,192
Saúl,23,Spain,70,Deportivo de La Coruña,€2M,€5K,Left,LB,6.0,157
I. Dia,31,Senegal,70,Yeni Malatyaspor,€1.6M,€9K,Right,RM,5.8,154
B. Myhill,35,Wales,70,West Bromwich Albion,€425K,€9K,Right,GK,6.3,203
D. Kuciak,33,Slovakia,70,Lechia Gdańsk,€900K,€4K,Right,GK,6.4,192
Pablo Marí,24,Spain,70,Deportivo de La Coruña,€2.1M,€39K,Left,LCB,6.3,192
Moon Seon Min,26,Korea Republic,70,Incheon United FC,€1.9M,€4K,Right,LW,5.8,150
K. Steppe,29,Belgium,70,Sint-Truidense VV,€1.4M,€6K,Right,GK,6.0,154
C. Insaurralde,26,Argentina,70,Club América,€1.9M,€32K,Right,LW,6.0,159
J. Domínguez,31,Colombia,70,Millonarios FC,€1.2M,€3K,Left,CDM,5.8,154
L. Gregory,29,England,70,Millwall,€1.8M,€10K,Right,LS,6.2,176
M. Mittelstädt,21,Germany,70,Hertha BSC,€2.7M,€10K,Left,LB,5.93,152
M. Romero,19,Argentina,70,PSV,€3.8M,€5K,Right,ST,5.93,159
D. Damjanović,36,Montenegro,70,Suwon Samsung Bluewings,€625K,€5K,Right,RW,6.2,179
Alam Basteirinho,26,Brazil,70,Santos,€1.9M,€10K,Left,RAM,6.0,163
Lee Seung Woo,20,Korea Republic,70,Hellas Verona,€2.8M,€3K,Right,LW,5.8,139
N. Gorosito,29,Argentina,70,Albacete BP,€1.4M,€5K,Right,CB,6.1,174
M. Trávník,24,Czech Republic,70,,€0,€0,Right,CM,5.9,154
G. Gardner,26,England,70,Birmingham City,€1.9M,€11K,Right,RCM,6.1,181
Lee Seung Gi,30,Korea Republic,70,Jeonbuk Hyundai Motors,€1.6M,€7K,Right,CM,5.93,148
C. Forsyth,29,Scotland,70,Derby County,€1.3M,€22K,Left,LB,6.2,183
D. Lenihan,24,Republic of Ireland,70,Blackburn Rovers,€2M,€18K,Right,CB,6.2,168
F. Klein,31,Austria,70,FK Austria Wien,€1.2M,€9K,Right,RB,6.0,159
A. Weber,31,France,70,Stade Brestois 29,€1.2M,€4K,Right,LCB,6.3,181
F. Haugen,26,Norway,70,SK Brann,€2.2M,€4K,Right,RCM,6.0,168
T. Bruns,26,Netherlands,70,Vitesse,€2.2M,€8K,Right,CM,5.93,159
C. González,25,Paraguay,70,U.N.A.M.,€2.3M,€12K,Left,LS,6.0,168
M. Coronel,29,Argentina,70,Gimnasia y Esgrima La Plata,€1.6M,€8K,Right,RCB,5.97,181
M. Schuhen,25,Germany,70,SV Sandhausen,€1.6M,€3K,Right,GK,6.2,187
J. Knudsen,25,Denmark,70,Ipswich Town,€1.8M,€6K,Left,LB,6.1,181
Q. Martinus,27,Curacao,70,Urawa Red Diamonds,€1.9M,€7K,Left,RM,6.0,154
G. Gianniotas,25,Greece,70,AEK Athens,€2.2M,€1K,Right,LM,5.9,159
F. De Paul,27,Chile,70,Universidad de Chile,€1.5M,€5K,Right,GK,6.0,185
Kangin Lee,17,Korea Republic,70,Valencia CF,€3.5M,€8K,Left,CAM,5.8,134
N. Carreño,24,Colombia,70,Patriotas Boyacá FC,€2M,€1K,Left,LB,5.9,168
J. Sánchez,30,Colombia,70,Junior FC,€1.3M,€2K,Right,CAM,5.93,170
Lee Jae Sung,29,Korea Republic,70,Jeonbuk Hyundai Motors,€1.4M,€7K,Right,CB,6.2,165
Kim Eun Sun,30,Korea Republic,70,Suwon Samsung Bluewings,€1.3M,€5K,Right,CDM,6.0,174
D. Moreno,26,Colombia,70,Deportivo de La Coruña,€1.8M,€2K,Right,CDM,5.93,157
A. Isaksson,36,Sweden,70,Djurgårdens IF,€240K,€2K,Right,GK,6.5,170
V. van Crooij,22,Netherlands,70,PEC Zwolle,€2.4M,€6K,Left,LM,5.93,154
M. D'Alessandro,27,Italy,70,Udinese,€1.9M,€14K,Right,RM,5.8,143
R. Windbichler,27,Austria,70,Ulsan Hyundai FC,€1.7M,€5K,Right,LCB,6.0,159
C. Corvalán,29,Argentina,70,Unión de Santa Fe,€1.3M,€8K,Left,LB,5.93,172
R. Raldes,37,Bolivia,70,,€0,€0,Right,,5.97,172
C. Adam,32,Scotland,70,Stoke City,€1.3M,€23K,Left,CM,6.1,183
Renaldo Justinho,34,Brazil,70,Botafogo,€900K,€12K,Left,CAM,5.97,163
Y. Wissa,21,France,70,FC Lorient,€3.2M,€4K,Right,LM,5.97,165
A. Saldívar,28,Mexico,70,U.N.A.M.,€1.2M,€9K,Right,GK,6.0,172
A. Stoian,27,Romania,70,Crotone,€1.9M,€3K,Right,LM,5.93,146
N. Obiora,26,Nigeria,70,Boavista FC,€1.7M,€5K,Right,CDM,6.2,196
S. Salger,28,Germany,70,DSC Arminia Bielefeld,€1.4M,€9K,Left,LCB,6.0,168
B. Meling,23,Norway,70,Rosenborg BK,€2M,€4K,Left,LB,5.8,141
Macarinho Louro,30,Brazil,70,Bahia,€1.7M,€8K,Left,LAM,5.9,154
S. Ireland,31,Republic of Ireland,70,Bolton Wanderers,€1.6M,€7K,Right,CAM,5.8,148
S. De Ridder,31,Belgium,70,Sporting Lokeren,€1.6M,€9K,Right,LW,5.93,157
M. Coutadeur,32,France,70,AC Ajaccio,€1M,€4K,Right,LDM,5.7,152
W. Grigg,26,Northern Ireland,70,Wigan Athletic,€2.1M,€30K,Right,ST,5.97,154
K. Barbarouses,28,New Zealand,70,Melbourne Victory,€1.8M,€7K,Right,RS,5.7,150
Ricardo Ferreira,28,Portugal,70,Portimonense SC,€1.4M,€5K,Right,GK,6.2,181
G. Belaud,31,France,70,Stade Brestois 29,€1.2M,€4K,Right,RB,5.93,168
Clerc,26,Spain,70,CA Osasuna,€1.8M,€6K,Left,LB,6.0,152
L. Mugni,26,Argentina,70,Club Atlético Lanús,€2.2M,€11K,Left,CM,6.0,168
A. Faurlín,31,Argentina,70,RCD Mallorca,€1.2M,€5K,Left,CDM,6.1,174
M. Barbieri,24,Argentina,70,Rosario Central,€2.1M,€9K,Right,CB,5.97,174
Javi Guerra,36,Spain,70,Rayo Vallecano,€625K,€9K,Right,ST,5.93,168
R. Braña,39,Argentina,70,Estudiantes de La Plata,€120K,€6K,Right,RDM,5.7,154
L. Benegas,29,Argentina,70,Universidad de Chile,€1.8M,€8K,Left,ST,5.97,172
S. Hogan,26,Republic of Ireland,70,Aston Villa,€2.2M,€12K,Right,ST,5.97,141
Pêpê,21,Portugal,70,Vitória Guimarães,€2.8M,€5K,Right,CM,6.0,152
Park Joo Ho,31,Korea Republic,70,Ulsan Hyundai FC,€1.5M,€5K,Left,LCM,5.9,157
R. Maiello,26,Italy,70,Frosinone,€2.1M,€10K,Right,LCM,5.93,161
B. Guillaume,23,Belgium,70,Nîmes Olympique,€2.5M,€12K,Right,LS,6.2,170
Vinicius Trieiro,26,Brazil,70,Botafogo,€1.5M,€11K,Right,RB,5.93,161
Christian Fernández,32,Spain,70,Real Oviedo,€1M,€6K,Left,RCB,6.0,170
F. Fragapane,25,Argentina,70,Unión de Santa Fe,€2.2M,€8K,Right,LM,5.6,143
A. Chipciu,29,Romania,70,Sparta Praha,€1.7M,€1K,Right,RM,5.93,161
E. Koulouris,22,Greece,70,,€0,€0,Right,ST,6.1,181
Raphael Paneira,30,Brazil,70,Grêmio,€1.7M,€17K,Right,RW,6.0,172
C. Espinoza,23,Argentina,70,Boca Juniors,€2.5M,€15K,Right,RW,5.6,154
C. Borja,25,Colombia,70,Deportivo Toluca,€1.9M,€12K,Left,LB,5.97,159
M. Pouraliganji,26,Iran,70,KAS Eupen,€1.8M,€7K,Right,RCB,6.2,163
Jailson Oliva,26,Brazil,70,Atlético Mineiro,€1.5M,€16K,Right,RB,5.7,143
Jordi Mboula,19,Spain,70,AS Monaco,€3.8M,€15K,Right,RM,6.0,163
F. Hasani,28,FYR Macedonia,70,Al Raed,€1.8M,€13K,Right,LM,6.2,165
J. Sambia,21,France,70,Montpellier HSC,€2.6M,€10K,Right,CM,6.1,161
Jorge Sáenz,21,Spain,70,CD Tenerife,€2.5M,€4K,Right,RCB,6.4,165
P. Mahlambi,20,South Africa,70,,€0,€0,Right,CAM,5.8,154
D. McGoldrick,30,Republic of Ireland,70,Sheffield United,€1.7M,€9K,Right,RS,6.0,163
G. Kagelmacher,30,Uruguay,70,KV Kortrijk,€1.3M,€8K,Right,RCB,6.0,172
N. Leali,25,Italy,70,Perugia,€1.6M,€2K,Right,GK,6.4,181
M. Pospíšil,27,Czech Republic,70,Jagiellonia Białystok,€1.9M,€6K,Right,CAM,5.93,150
A. Aguerre,27,Argentina,70,Newell's Old Boys,€1.5M,€8K,Right,GK,5.97,176
M. Robak,35,Poland,70,Śląsk Wrocław,€825K,€4K,Right,LS,6.0,172
Javi Márquez,32,Spain,70,Gimnàstic de Tarragona,€1.3M,€6K,Left,LCM,5.93,159
C. Ramos,29,Peru,70,Al Nassr,€1.4M,€19K,Right,LCB,6.0,172
T. Bunbury,28,United States,70,New England Revolution,€1.8M,€6K,Right,ST,6.2,172
D. Cvetinović,29,Serbia,70,Yokohama F. Marinos,€1.4M,€4K,Right,LCB,6.1,174
L. Ajorque,24,France,70,RC Strasbourg Alsace,€2.4M,€10K,Left,ST,6.5,181
R. Nissen Kristensen,20,Denmark,70,Ajax,€2.4M,€6K,Right,RB,6.1,154
T. Hiariej,29,Netherlands,70,Central Coast Mariners,€1.4M,€2K,Right,CDM,5.93,163
J. Marveaux,35,France,70,GFC Ajaccio,€425K,€3K,Right,CDM,5.93,159
M. Kone,28,Ivory Coast,70,BB Erzurumspor,€1.8M,€9K,Right,CM,5.97,157
F. Holland,27,Germany,70,SV Darmstadt 98,€1.5M,€10K,Left,LB,5.8,163
C. Suárez,31,Chile,70,CD Everton de Viña del Mar,€1.2M,€3K,Right,LCB,5.93,165
B. Safari,33,Sweden,70,Malmö FF,€675K,€4K,Left,LCB,5.97,163
M. Varnier,20,Italy,70,Atalanta,€3.5M,€2K,Right,CB,6.1,181
B. Kadrii,26,Denmark,70,Odense Boldklub,€1.9M,€9K,Left,LS,5.93,157
J. Paredes,30,Ecuador,70,,€0,€0,Right,RB,5.9,159
Aitor García,24,Spain,70,CF Rayo Majadahonda,€2.4M,€5K,Right,LS,5.9,159
L. Spalvis,23,Lithuania,70,1. FC Kaiserslautern,€2.5M,€4K,Left,ST,6.2,172
M. Stoppelkamp,31,Germany,70,MSV Duisburg,€1.6M,€5K,Right,LM,5.97,165
T. Itō,21,Japan,70,Hamburger SV,€3.1M,€6K,Left,LM,5.4,130
Nenê,34,Brazil,70,Moreirense FC,€925K,€5K,Right,ST,6.0,172
C. Strohdiek,30,Germany,70,SC Paderborn 07,€1.3M,€7K,Right,CB,6.4,192
J. Brabec,25,Czech Republic,70,Çaykur Rizespor,€1.9M,€8K,Right,CB,6.2,183
S. Çikalleshi,27,Albania,70,Göztepe SK,€1.9M,€15K,Right,ST,6.1,176
L. García,25,Mexico,70,Deportivo Toluca,€1.7M,€9K,Right,GK,6.0,185
M. Wasilewski,38,Poland,70,Wisła Kraków,€240K,€3K,Right,RCB,6.1,194
S. Griesbeck,27,Germany,70,1. FC Heidenheim 1846,€1.5M,€7K,Right,LDM,6.2,187
J. Benítez,26,Argentina,70,CD Universidad de Concepción,€1.9M,€3K,Left,LW,5.93,170
Diogildo Peixe,30,Brazil,70,Sport Club do Recife,€1.7M,€10K,Right,LAM,5.97,157
N. Ibáñez,36,Argentina,70,Newell's Old Boys,€240K,€5K,Right,GK,6.1,187
I. Uche,34,Nigeria,70,Gimnàstic de Tarragona,€925K,€6K,Right,RS,5.8,154
D. Dessena,31,Italy,70,Cagliari,€1.5M,€17K,Right,LCM,6.0,165
R. Ovelar,32,Paraguay,70,Millonarios FC,€1.4M,€3K,Right,ST,5.97,179
V. Mannone,30,Italy,70,Reading,€1.1M,€14K,Right,GK,6.2,176
J. Gillet,39,Belgium,70,Standard de Liège,€120K,€4K,Left,GK,5.97,190
L. Venuti,23,Italy,70,Lecce,€2M,€21K,Right,RB,5.9,146
J. Meneses,25,Chile,70,Club León,€2.2M,€17K,Right,RM,5.4,128
G. Maniatis,31,Greece,70,Alanyaspor,€1.2M,€8K,Right,CDM,5.9,150
A. Mabil,22,Australia,70,FC Midtjylland,€2.6M,€12K,Right,RW,5.93,161
M. Olivera,26,Uruguay,70,Fiorentina,€1.8M,€24K,Left,LB,5.97,159
J. Madueña,28,Mexico,70,Cruz Azul,€1.4M,€13K,Right,RB,5.93,172
R. Kurzawa,25,Poland,70,Amiens SC,€2.2M,€10K,Left,LM,6.0,161
F. Pellegrino,32,Argentina,70,Club Atlético Huracán,€1M,€6K,Right,GK,6.6,198
N. Ampomah,22,Ghana,70,Waasland-Beveren,€2.5M,€6K,Right,LM,5.9,150
C. Fuentes,25,Chile,70,Universidad Católica,€1.9M,€6K,Right,CDM,5.7,163
O. Burke,21,Scotland,70,West Bromwich Albion,€3.1M,€14K,Right,RM,6.2,163
Sandro Manoel,29,Brazil,70,Al Taawoun,€1.4M,€12K,Right,RDM,5.9,154
K. Dowell,20,England,70,Everton,€3.4M,€31K,Left,CAM,6.1,176
N. Leguizamón,23,Argentina,70,Club Atlético Colón,€2.8M,€8K,Right,ST,5.97,165
G. Espinoza,28,Chile,70,Universidad de Chile,€1.8M,€8K,Right,RDM,5.93,170
A. Balić,20,Croatia,70,Udinese,€2.5M,€11K,Right,CM,5.97,154
M. Dos Santos,28,Argentina,70,CD Leganés,€1.4M,€15K,Right,CB,6.0,168
Breno Bemposta,34,Brazil,70,Ceará Sporting Club,€550K,€11K,Right,LDM,5.9,172
B. Capon,30,Belgium,70,KV Oostende,€1.7M,€9K,Right,RB,5.97,159
C. Hudson-Odoi,17,England,70,Chelsea,€3.5M,€25K,Right,LW,5.93,165
Ruiz de Galarreta,24,Spain,70,UD Las Palmas,€2.3M,€6K,Right,RCM,5.9,152
V. Osimhen,19,Nigeria,70,Sporting de Charleroi,€3.1M,€12K,Right,LM,6.1,172
Mauro Júnior,19,Brazil,70,PSV,€3.1M,€4K,Left,CAM,5.7,137
M. Casierra,32,Colombia,70,Deportivo Pasto,€975K,€1K,Left,LB,5.9,150
L. Cáceda,30,Paraguay,70,,€0,€0,Right,CB,6.3,196
B. Nieuwkoop,22,Netherlands,70,Feyenoord,€2M,€6K,Right,RB,5.97,159
M. Cash,20,England,70,Nottingham Forest,€3.1M,€19K,Right,LM,5.93,141
P. Huntington,30,England,70,Preston North End,€1.3M,€8K,Right,RCB,6.3,176
A. Paločević,24,Serbia,70,CD Nacional,€2.3M,€6K,Right,CM,5.97,146
L. Sequeira,23,Argentina,70,Belgrano de Córdoba,€2.6M,€8K,Right,RM,5.8,152
A. Bouka Moutou,29,Congo,70,Dijon FCO,€1.3M,€8K,Left,LB,5.9,168
I. Saadi,26,Algeria,70,RC Strasbourg Alsace,€2.1M,€12K,Right,ST,5.97,187
J. Shackell,34,England,70,Lincoln City,€550K,€10K,Left,LCB,6.4,183
D. Wheater,31,England,70,Bolton Wanderers,€1.2M,€6K,Right,CB,6.5,192
L. Tomlin,29,England,70,Cardiff City,€1.7M,€25K,Right,CAM,5.97,163
N. Viola,28,Italy,70,Benevento,€1.8M,€4K,Left,CM,5.97,170
O. Shevchenko,26,Ukraine,70,Shakhtar Donetsk,€1.5M,€1K,Right,GK,6.2,179
Marlinito Dias,34,Brazil,70,Cruzeiro,€550K,€14K,Right,CDM,6.2,185
Marc Cardona,22,Spain,70,SD Eibar,€2.8M,€57K,Right,ST,6.0,150
J. Rivierez,29,France,70,FC Metz,€1.3M,€5K,Right,RB,6.0,181
A. Crescenzi,26,Italy,70,Hellas Verona,€1.7M,€3K,Right,LB,5.93,157
José Arnáiz,23,Spain,70,CD Leganés,€2.7M,€13K,Right,LM,5.9,154
L. Giannetti,24,Argentina,70,Vélez Sarsfield,€2.1M,€7K,Right,CB,6.0,174
R. Boffin,30,Belgium,70,Antalyaspor,€1.1M,€8K,Right,GK,6.5,190
R. Ramírez,28,Paraguay,70,Deportes Tolima,€1.8M,€3K,Right,ST,5.7,154
D. von Ballmoos,23,Switzerland,70,BSC Young Boys,€2.1M,€8K,Right,GK,6.4,198
T. Carson,30,Northern Ireland,70,Motherwell,€1.1M,€4K,Right,GK,6.1,187
T. Tawatha,26,Israel,70,Eintracht Frankfurt,€1.5M,€16K,Left,LB,5.8,154
J. Martins Pereira,32,France,70,FC Lorient,€975K,€5K,Right,RB,6.0,172
P. Gallagher,33,Scotland,70,Preston North End,€1M,€9K,Right,LDM,6.1,154
M. Morrison,30,England,70,Birmingham City,€1.3M,€14K,Right,RCB,6.0,168
C. Fierro,23,Mexico,70,Monarcas Morelia,€2.3M,€12K,Right,RM,5.9,154
Bruno Moreira,30,Portugal,70,Rio Ave FC,€1.7M,€6K,Right,ST,6.1,174
F. Ayité,29,Togo,70,Fulham,€1.7M,€31K,Right,LW,5.9,163
F. Zuculini,27,Argentina,70,Club Atlético Colón,€1.8M,€8K,Right,RCM,5.9,150
J. Morrow,30,United States,70,Toronto FC,€1.3M,€5K,Left,LB,5.9,165
